GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more"
1500000US300630002021,300630002021,"Block Group 1, Census Tract 2.02, Missoula County, Montana",2326,276,87,70,157,102,102,68,140,91,73,67,109,78,125,94,285,171,20,32,250,125,326,154,150,82,414,201,26,42,62,71,0,14
1500000US300630002022,300630002022,"Block Group 2, Census Tract 2.02, Missoula County, Montana",360,109,0,10,22,35,0,10,0,10,0,10,0,10,0,10,18,29,20,33,18,30,94,75,25,42,120,108,20,33,0,10,23,41
1500000US300630002023,300630002023,"Block Group 3, Census Tract 2.02, Missoula County, Montana",1704,256,90,86,85,111,15,18,3,5,45,44,5,6,139,78,70,93,35,36,137,130,296,156,151,85,300,206,159,124,99,80,75,57
1500000US300630002024,300630002024,"Block Group 4, Census Tract 2.02, Missoula County, Montana",480,139,0,10,0,10,0,10,0,10,23,36,0,10,127,117,49,58,51,59,0,10,0,10,71,69,40,63,70,67,0,10,49,74
1500000US300630003001,300630003001,"Block Group 1, Census Tract 3, Missoula County, Montana",597,126,101,51,68,49,75,57,73,55,63,69,105,83,14,15,48,40,0,10,16,17,14,16,8,13,0,10,0,10,0,10,12,19
1500000US300630003002,300630003002,"Block Group 2, Census Tract 3, Missoula County, Montana",657,112,176,81,45,36,131,73,91,61,37,27,31,38,25,23,25,24,18,22,37,30,23,25,0,10,0,10,0,10,9,14,9,15
1500000US300630004001,300630004001,"Block Group 1, Census Tract 4, Missoula County, Montana",540,84,82,61,37,38,53,45,20,25,0,10,41,53,51,41,35,30,68,49,32,35,0,10,34,29,55,41,0,10,32,42,0,10
1500000US300630004002,300630004002,"Block Group 2, Census Tract 4, Missoula County, Montana",306,67,10,17,0,10,8,14,7,12,13,16,6,9,26,24,23,22,20,21,23,18,64,33,63,39,24,24,5,7,8,12,6,9
1500000US300630004003,300630004003,"Block Group 3, Census Tract 4, Missoula County, Montana",296,73,8,12,20,21,0,10,47,48,0,10,14,16,20,20,10,15,6,10,17,20,7,11,36,25,11,18,0,10,6,10,94,62
1500000US300630005001,300630005001,"Block Group 1, Census Tract 5, Missoula County, Montana",676,140,167,90,70,46,43,65,45,74,38,38,25,30,105,75,20,33,8,19,0,10,36,33,33,38,17,23,0,10,26,33,43,37
1500000US300630005002,300630005002,"Block Group 2, Census Tract 5, Missoula County, Montana",233,84,0,10,0,10,0,10,0,10,0,10,55,64,0,10,0,10,0,10,27,34,15,26,37,43,65,67,13,22,0,10,21,26
