GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1500000US300630011003,300630011003,"Block Group 3, Census Tract 11, Missoula County, Montana",570,86
1500000US300630012001,300630012001,"Block Group 1, Census Tract 12, Missoula County, Montana",302,64
1500000US300630012002,300630012002,"Block Group 2, Census Tract 12, Missoula County, Montana",577,116
1500000US300630012003,300630012003,"Block Group 3, Census Tract 12, Missoula County, Montana",420,92
1500000US300630012004,300630012004,"Block Group 4, Census Tract 12, Missoula County, Montana",1125,138
1500000US300630013021,300630013021,"Block Group 1, Census Tract 13.02, Missoula County, Montana",958,132
1500000US300630013022,300630013022,"Block Group 2, Census Tract 13.02, Missoula County, Montana",541,103
1500000US300630013023,300630013023,"Block Group 3, Census Tract 13.02, Missoula County, Montana",399,81
1500000US300630013024,300630013024,"Block Group 4, Census Tract 13.02, Missoula County, Montana",410,103
1500000US300630013025,300630013025,"Block Group 5, Census Tract 13.02, Missoula County, Montana",364,90
1500000US300630013031,300630013031,"Block Group 1, Census Tract 13.03, Missoula County, Montana",618,119
1500000US300630013032,300630013032,"Block Group 2, Census Tract 13.03, Missoula County, Montana",570,85
1500000US300630013033,300630013033,"Block Group 3, Census Tract 13.03, Missoula County, Montana",444,107
1500000US300630013034,300630013034,"Block Group 4, Census Tract 13.03, Missoula County, Montana",563,109
1500000US300630013041,300630013041,"Block Group 1, Census Tract 13.04, Missoula County, Montana",451,91
1500000US300630013042,300630013042,"Block Group 2, Census Tract 13.04, Missoula County, Montana",504,98
1500000US300630013043,300630013043,"Block Group 3, Census Tract 13.04, Missoula County, Montana",498,98
1500000US300630013044,300630013044,"Block Group 4, Census Tract 13.04, Missoula County, Montana",1154,128
1500000US300630014001,300630014001,"Block Group 1, Census Tract 14, Missoula County, Montana",812,102
1500000US300630014002,300630014002,"Block Group 2, Census Tract 14, Missoula County, Montana",791,83
1500000US300630014003,300630014003,"Block Group 3, Census Tract 14, Missoula County, Montana",629,73
1500000US300630014004,300630014004,"Block Group 4, Census Tract 14, Missoula County, Montana",344,68
1500000US300630014005,300630014005,"Block Group 5, Census Tract 14, Missoula County, Montana",390,76
1500000US300630015001,300630015001,"Block Group 1, Census Tract 15, Missoula County, Montana",422,97
1500000US300630015002,300630015002,"Block Group 2, Census Tract 15, Missoula County, Montana",735,109
1500000US300630015003,300630015003,"Block Group 3, Census Tract 15, Missoula County, Montana",836,150
1500000US300630015004,300630015004,"Block Group 4, Census Tract 15, Missoula County, Montana",576,122
1500000US300630016001,300630016001,"Block Group 1, Census Tract 16, Missoula County, Montana",1117,190
1500000US300630016002,300630016002,"Block Group 2, Census Tract 16, Missoula County, Montana",524,143
1500000US300630016003,300630016003,"Block Group 3, Census Tract 16, Missoula County, Montana",799,165
1500000US300630016004,300630016004,"Block Group 4, Census Tract 16, Missoula County, Montana",590,132
1500000US300630018001,300630018001,"Block Group 1, Census Tract 18, Missoula County, Montana",999,103
1500000US300630018002,300630018002,"Block Group 2, Census Tract 18, Missoula County, Montana",1024,90
1500000US300630018003,300630018003,"Block Group 3, Census Tract 18, Missoula County, Montana",416,73
1500000US300630018004,300630018004,"Block Group 4, Census Tract 18, Missoula County, Montana",1245,136
