GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2014 or later,Margin of Error; Total: - Built 2014 or later,Estimate; Total: - Built 2010 to 2013,Margin of Error; Total: - Built 2010 to 2013,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1500000US300630011002,300630011002,"Block Group 2, Census Tract 11, Missoula County, Montana",588,92,0,10,0,10,46,48,63,54,0,10,129,64,60,35,128,65,69,39,93,49
1500000US300630011003,300630011003,"Block Group 3, Census Tract 11, Missoula County, Montana",570,86,0,10,10,15,39,57,0,10,64,55,47,59,38,34,53,57,118,61,201,56
1500000US300630012001,300630012001,"Block Group 1, Census Tract 12, Missoula County, Montana",302,64,0,10,0,10,9,16,0,10,15,23,12,21,0,10,110,70,84,44,72,47
1500000US300630012002,300630012002,"Block Group 2, Census Tract 12, Missoula County, Montana",577,116,0,10,21,37,0,10,0,10,31,35,189,93,62,42,138,65,136,69,0,10
1500000US300630012003,300630012003,"Block Group 3, Census Tract 12, Missoula County, Montana",420,92,0,10,0,10,0,10,0,10,41,46,0,10,53,49,165,67,129,91,32,38
1500000US300630012004,300630012004,"Block Group 4, Census Tract 12, Missoula County, Montana",1125,138,0,10,0,10,138,83,182,78,94,73,401,150,180,86,130,68,0,10,0,10
1500000US300630013021,300630013021,"Block Group 1, Census Tract 13.02, Missoula County, Montana",958,132,0,10,21,30,16,25,160,110,147,80,217,107,223,112,174,70,0,10,0,10
1500000US300630013022,300630013022,"Block Group 2, Census Tract 13.02, Missoula County, Montana",541,103,0,10,0,10,39,45,115,71,26,30,303,119,58,48,0,10,0,10,0,10
1500000US300630013023,300630013023,"Block Group 3, Census Tract 13.02, Missoula County, Montana",399,81,0,10,0,10,155,63,34,43,42,38,124,89,13,21,0,10,0,10,31,34
1500000US300630013024,300630013024,"Block Group 4, Census Tract 13.02, Missoula County, Montana",410,103,0,10,0,10,17,26,183,103,112,71,85,56,13,20,0,10,0,10,0,10
1500000US300630013025,300630013025,"Block Group 5, Census Tract 13.02, Missoula County, Montana",364,90,0,10,0,10,0,10,31,36,115,75,188,100,30,36,0,10,0,10,0,10
1500000US300630013031,300630013031,"Block Group 1, Census Tract 13.03, Missoula County, Montana",618,119,15,24,31,35,15,23,27,23,0,10,118,52,207,134,194,93,0,10,11,19
1500000US300630013032,300630013032,"Block Group 2, Census Tract 13.03, Missoula County, Montana",570,85,0,10,0,10,28,31,0,10,26,32,54,61,341,90,121,69,0,10,0,10
1500000US300630013033,300630013033,"Block Group 3, Census Tract 13.03, Missoula County, Montana",444,107,0,10,0,10,15,17,27,31,15,25,289,97,53,42,28,34,0,10,17,26
