"","X","GEOID2","Display","Population","AvgAge","AvgIncome","AvgEducation","ProportionEmployed","TotalICD9Estimate","TotalLower","TotalUpper","ChronicICD9Estimate","ChronicLower","ChronicUpper"
"34",34,"300630009015","Block Group 5, Census Tract 9.01, Missoula County, Montana",849,38.6525323910483,29139.5738398713,4.69075630252101,0.617021276595745,1.54283986676134,1.29828285694793,1.78739687657474,0.105357736355117,0.0649893585027804,0.145726114207453
"35",35,"300630009021","Block Group 1, Census Tract 9.02, Missoula County, Montana",2435,41.8166324435318,51656.9760724315,4.79503625209147,0.563983488132095,3.79973220559786,3.65531816032329,3.94414625087243,0.303931141482392,0.280093097538052,0.327769185426732
"36",36,"300630010001","Block Group 1, Census Tract 10, Missoula County, Montana",1544,38.8400259067358,24542.3387096774,4.0390365448505,0.50709219858156,3.58219856340512,3.40084268288385,3.7635544439264,0.276329588935841,0.246393654095078,0.306265523776604
"37",37,"300630010002","Block Group 2, Census Tract 10, Missoula County, Montana",1210,33.4280991735537,26748.3836206897,5.28376623376623,0.743174924165824,2.78764642680043,2.5827850139882,2.99250783961266,0.250781359207049,0.216965428410064,0.284597290004035
"38",38,"300630010003","Block Group 3, Census Tract 10, Missoula County, Montana",1437,30.249826026444,23617.903930131,5.21699196326062,0.770799347471452,4.94987230367101,4.76188727336156,5.13785733398046,0.366081974497928,0.335051783460244,0.397112165535613
"39",39,"300630010004","Block Group 4, Census Tract 10, Missoula County, Montana",1354,47.5240029542097,14560.6796116505,3.61151832460733,0.394173093401885,7.16136749401965,6.96578420026544,7.35695078777385,0.560520744564992,0.52855446924003,0.592487019889954
"40",40,"300630011001","Block Group 1, Census Tract 11, Missoula County, Montana",952,38.9406512605042,33713.2352941177,5.28052550231839,0.697729988052569,7.22186940465478,6.98470473911725,7.45903407019231,0.5725362986208,0.53441240945951,0.610660187782089
"41",41,"300630011002","Block Group 2, Census Tract 11, Missoula County, Montana",1147,35.7802964254577,26921.0799584631,4.83532536520584,0.824175824175824,5.67494397298597,5.46453268719564,5.8853552587763,0.481205509941979,0.446473476312434,0.515937543571524
"42",42,"300630011003","Block Group 3, Census Tract 11, Missoula County, Montana",1273,32.1606441476826,32313.5682447046,4.79192546583851,0.821527138914443,7.62887438814188,7.40096789531037,7.85678088097339,0.576438577220768,0.543469431522043,0.609407722919492
"43",43,"300630012001","Block Group 1, Census Tract 12, Missoula County, Montana",724,30.4682320441989,44936.5707397667,5.45478723404255,0.774378585086042,7.74273585934638,7.4320681508117,8.05340356788105,0.61383063598807,0.570113321256217,0.657547950719922
"44",44,"300630012002","Block Group 2, Census Tract 12, Missoula County, Montana",948,35.4920886075949,28306.6860465116,5.106239460371,0.707878787878788,4.10159855029192,3.87015529171276,4.33304180887108,0.305671385064656,0.267467659394195,0.343875110735118
"45",45,"300630012003","Block Group 3, Census Tract 12, Missoula County, Montana",1024,36.361328125,35911.6022099448,4.93991712707182,0.774445893089961,1.47426549234464,1.25157915746675,1.69695182722253,0.0895036392233055,0.0527453957537706,0.12626188269284
"46",46,"300630012004","Block Group 4, Census Tract 12, Missoula County, Montana",2652,32.7537707390649,25733.7263578952,4.89509202453988,0.699208443271768,1.58349015771933,1.44511512561097,1.72186518982769,0.118609090701566,0.0957678906650529,0.141450290738079
"47",47,"300630013021","Block Group 1, Census Tract 13.02, Missoula County, Montana",2230,37.7829596412556,39345.1178646212,5,0.679781420765027,7.51827356413748,7.35076508502422,7.68578204325074,0.60587294850041,0.580962946199214,0.630782950801607
