"","GEOID2","Display","TotalPopulation","AvgAge","numKids","numElderly","NonIncomePopulation","PercentKids","PercentElderly","AvgIncome","AvgEducation","Unemployed","Employed"
"30","300630008004","Block Group 4, Census Tract 8, Missoula County, Montana",1485,35.889898989899,178,75,286,11.986531986532,5.05050505050505,23525.8548790659,4.8955223880597,351,916
"31","300630009011","Block Group 1, Census Tract 9.01, Missoula County, Montana",1131,35.4951370468612,49,81,278,4.33244916003537,7.16180371352785,31951.9343493552,4.96423248882265,164,843
"32","300630009012","Block Group 2, Census Tract 9.01, Missoula County, Montana",1425,46.9926315789474,191,326,223,13.4035087719298,22.8771929824561,45642.7151771913,5.00308641975309,511,708
"33","300630009013","Block Group 3, Census Tract 9.01, Missoula County, Montana",1616,36.6936881188119,277,226,603,17.1410891089109,13.9851485148515,34621.530059493,4.83960396039604,543,602
"34","300630009014","Block Group 4, Census Tract 9.01, Missoula County, Montana",1298,50.5843605546995,162,526,238,12.4807395993837,40.5238828967642,28688.679245283,4.7627358490566,652,451
"35","300630009015","Block Group 5, Census Tract 9.01, Missoula County, Montana",849,38.6525323910483,119,150,167,14.0164899882214,17.6678445229682,29139.5738398713,4.69075630252101,270,435
"36","300630009021","Block Group 1, Census Tract 9.02, Missoula County, Montana",2435,41.8166324435318,321,463,576,13.1827515400411,19.0143737166324,51656.9760724315,4.79503625209147,845,1093
"37","300630010001","Block Group 1, Census Tract 10, Missoula County, Montana",1544,38.8400259067358,71,170,304,4.59844559585492,11.0103626943005,24542.3387096774,4.0390365448505,695,715
"38","300630010002","Block Group 2, Census Tract 10, Missoula County, Montana",1210,33.4280991735537,105,102,282,8.67768595041322,8.4297520661157,26748.3836206897,5.28376623376623,254,735
"39","300630010003","Block Group 3, Census Tract 10, Missoula County, Montana",1437,30.249826026444,152,31,292,10.5775922059847,2.15727209464161,23617.903930131,5.21699196326062,281,945
"40","300630010004","Block Group 4, Census Tract 10, Missoula County, Montana",1354,47.5240029542097,0,434,324,0,32.0531757754801,14560.6796116505,3.61151832460733,707,460
"41","300630011001","Block Group 1, Census Tract 11, Missoula County, Montana",952,38.9406512605042,70,130,204,7.35294117647059,13.6554621848739,33713.2352941177,5.28052550231839,253,584
"42","300630011002","Block Group 2, Census Tract 11, Missoula County, Montana",1147,35.7802964254577,54,29,184,4.7079337401918,2.5283347863993,26921.0799584631,4.83532536520584,176,825
"43","300630011003","Block Group 3, Census Tract 11, Missoula County, Montana",1273,32.1606441476826,119,93,391,9.34799685781618,7.30557737627651,32313.5682447046,4.79192546583851,194,893
"44","300630012001","Block Group 1, Census Tract 12, Missoula County, Montana",724,30.4682320441989,93,49,237,12.8453038674033,6.76795580110497,44936.5707397667,5.45478723404255,118,405
"45","300630012002","Block Group 2, Census Tract 12, Missoula County, Montana",948,35.4920886075949,123,122,260,12.9746835443038,12.8691983122363,28306.6860465116,5.106239460371,241,584
"46","300630012003","Block Group 3, Census Tract 12, Missoula County, Montana",1024,36.361328125,176,173,300,17.1875,16.89453125,35911.6022099448,4.93991712707182,173,594
"47","300630012004","Block Group 4, Census Tract 12, Missoula County, Montana",2652,32.7537707390649,262,176,553,9.87933634992459,6.63650075414781,25733.7263578952,4.89509202453988,684,1590
"48","300630013021","Block Group 1, Census Tract 13.02, Missoula County, Montana",2230,37.7829596412556,263,246,553,11.7937219730942,11.0313901345291,39345.1178646212,5,586,1244
"49","300630013022","Block Group 2, Census Tract 13.02, Missoula County, Montana",1092,49.5041208791209,101,269,133,9.24908424908425,24.6336996336996,56658.9506701956,5.40454545454545,312,647
"50","300630013023","Block Group 3, Census Tract 13.02, Missoula County, Montana",937,43.0122732123799,164,207,233,17.5026680896478,22.0917822838847,54401.5126781244,5.13565340909091,259,465
